%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
85400000000,853,85400000000,base_link,0,0,35.8594557637,-108.23683891,12.4187017819,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
85500000000,854,85500000000,base_link,0,0,35.8594559767,-108.236838176,12.4765587815,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
85600000000,855,85600000000,base_link,0,0,35.8594557234,-108.236838549,12.4940083823,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
85700000000,856,85700000000,base_link,0,0,35.8594560531,-108.236838793,12.4334851159,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
85800000000,857,85800000000,base_link,0,0,35.8594557825,-108.236838976,12.4112099817,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
85900000000,858,85900000000,base_link,0,0,35.8594562089,-108.236838746,12.485880251,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86000000000,859,86000000000,base_link,0,0,35.8594562257,-108.236838888,12.4379787138,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86100000000,860,86100000000,base_link,0,0,35.8594555208,-108.236838138,12.4714127279,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86200000000,861,86200000000,base_link,0,0,35.8594562306,-108.236839139,12.4679458521,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86300000000,862,86300000000,base_link,0,0,35.8594554972,-108.236838818,12.5081702531,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86400000000,863,86400000000,base_link,0,0,35.8594567292,-108.236839136,12.4921978293,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86500000000,864,86500000000,base_link,0,0,35.8594563993,-108.236838943,12.470095702,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86600000000,865,86600000000,base_link,0,0,35.8594561999,-108.236838521,12.5519911372,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86700000000,866,86700000000,base_link,0,0,35.8594557948,-108.236838299,12.5181720438,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86800000000,867,86800000000,base_link,0,0,35.8594559459,-108.236838316,12.5153126282,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
86900000000,868,86900000000,base_link,0,0,35.8594563651,-108.236839094,12.4649389889,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87000000000,869,87000000000,base_link,0,0,35.8594551195,-108.236837748,12.5231011748,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87100000000,870,87100000000,base_link,0,0,35.8594564118,-108.236839004,12.5094459347,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87200000000,871,87200000000,base_link,0,0,35.8594560229,-108.236837663,12.5055741175,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87300000000,872,87300000000,base_link,0,0,35.8594565767,-108.236838698,12.5034914054,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87400000000,873,87400000000,base_link,0,0,35.8594556981,-108.236838408,12.484497485,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87500000000,874,87500000000,base_link,0,0,35.8594563877,-108.236838439,12.4635350987,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87600000000,875,87600000000,base_link,0,0,35.8594562988,-108.236839356,12.4434563456,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87700000000,876,87700000000,base_link,0,0,35.8594552673,-108.236837945,12.4862126214,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87800000000,877,87800000000,base_link,0,0,35.8594562452,-108.236838264,12.4667275959,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
87900000000,878,87900000000,base_link,0,0,35.859455568,-108.236838277,12.4873093343,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88000000000,879,88000000000,base_link,0,0,35.8594555078,-108.236838643,12.4985422312,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88100000000,880,88100000000,base_link,0,0,35.8594563134,-108.236839145,12.5188875413,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88200000000,881,88200000000,base_link,0,0,35.8594558106,-108.236838163,12.4676401665,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88300000000,882,88300000000,base_link,0,0,35.8594564052,-108.236838718,12.4851603771,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88400000000,883,88400000000,base_link,0,0,35.8594556776,-108.236838906,12.4553654173,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88500000000,884,88500000000,base_link,0,0,35.8594561071,-108.23683879,12.4412119884,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
88600000000,885,88600000000,base_link,0,0,35.8594557353,-108.236838038,12.4826812529,0.001251461376,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.00090601,2
